REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2012,50,1995,47063,0.8557531456833224
Illinois,2012,51,2271,44720,0.8415335666744833
Illinois,2012,52,2227,35509,0.7181358402859992
Illinois,2013,1,1903,37641,0.711797469238255
Illinois,2013,2,2008,46181,0.8499321869770682
Illinois,2013,3,1790,46027,0.8379843593320224
Illinois,2013,4,1500,42329,0.7643203195750852
Illinois,2013,5,1572,44879,0.8374089463976863
Illinois,2013,6,1381,44180,0.7827643025460215
Illinois,2013,7,1282,41900,0.7495899067519515
Illinois,2013,8,1064,41641,0.7353978826505313
Illinois,2013,9,1194,42420,0.7441502712330985
Illinois,2013,10,1102,42033,0.733503096818881
Illinois,2013,11,1073,35329,0.6372545482800341
Illinois,2013,12,1039,39351,0.7267820661084229
Illinois,2013,13,954,38954,0.7433631176502538
Illinois,2013,14,932,40193,0.7514925319468715
Illinois,2013,15,746,39331,0.740630278028049
Illinois,2013,16,724,39650,0.765228106117965
Illinois,2013,17,705,41503,0.7863051430403544
Illinois,2013,18,678,41161,0.7874619582173193
Illinois,2013,19,664,41147,0.7944474478399316
Illinois,2013,20,647,34230,0.7408215146061654
Illinois,2013,21,526,36966,0.7891389488722669
Illinois,2013,22,531,33468,0.7348038959043014
Illinois,2013,23,585,37130,0.7939528717444297
Illinois,2013,24,499,30306,0.6640563636670094
Illinois,2013,25,473,34489,0.7373565108706377
Illinois,2013,26,428,35134,0.7876369443117561
Illinois,2013,27,370,31510,0.738103990082454
Illinois,2013,28,418,35986,0.7727241193629483
Illinois,2013,29,344,35705,0.7732024020722454
Illinois,2013,30,366,36918,0.8310918426497927
Illinois,2013,31,332,34962,0.8082687139375608
Illinois,2013,32,321,35552,0.8096914577232361
Illinois,2013,33,385,35846,0.7946089134699578
Illinois,2013,34,363,38547,0.8357556353754869
Illinois,2013,35,383,37115,0.7894261071781802
Illinois,2013,36,439,36896,0.8121758877945786
Illinois,2013,37,560,40874,0.8483016257350398
Illinois,2013,38,578,39686,0.8287469915999729
Illinois,2013,39,562,39031,0.8198239828603835
Illinois,2013,40,859,60860,1.0492936451939756
Illinois,2013,41,932,61042,1.063664719073412
Illinois,2013,42,937,58470,1.002204530891121
Illinois,2013,43,1036,59792,1.020069474792094
Illinois,2013,44,1072,58003,0.9929823221415703
Illinois,2013,45,1069,59677,1.0061760818843146
Illinois,2013,46,1060,58668,1.011365670662089
Illinois,2013,47,1095,56729,1.0943516339364945
Illinois,2013,48,1012,43271,0.766188040055354
Illinois,2013,49,1371,57583,0.9825496079404207
Illinois,2013,50,1337,48075,0.87415448396247
Illinois,2013,51,1627,54227,1.0204347209315119
Illinois,2013,52,1920,42588,0.8613018999718419
Illinois,2014,1,1995,44908,0.8492176283454625
Illinois,2014,2,1716,49753,0.915672594761267
Illinois,2014,3,1712,57151,1.0405119629822586
Illinois,2014,4,1538,54661,0.9869950385856914
Illinois,2014,5,1240,53607,1.0002669709561436
Illinois,2014,6,1120,53509,0.948051948051948
Illinois,2014,7,1146,56725,1.0148087699404402
Illinois,2014,8,1182,57008,1.006785679838176
Illinois,2014,9,1186,58078,1.0188297843629397
Illinois,2014,10,1033,55868,0.9749328150043358
Illinois,2014,11,1101,55518,1.00141804215831
Illinois,2014,12,975,55648,1.02777485743187
Illinois,2014,13,1126,55297,1.055238237837092
Illinois,2014,14,1158,58978,1.1027175515428704
Illinois,2014,15,1181,60506,1.139370359318734
Illinois,2014,16,1006,56237,1.085350138808474
Illinois,2014,17,1093,58699,1.112096127781745
Illinois,2014,18,956,55763,1.0668166753983717
Illinois,2014,19,1055,52980,1.0229135972624877
Illinois,2014,20,808,49493,1.0711504301023356
Illinois,2014,21,794,45828,0.9783222352680367
Illinois,2014,22,757,48488,1.0645742591313423
Illinois,2014,23,761,51174,1.0942565111405722
Illinois,2014,24,678,47477,1.0403023816346137
Illinois,2014,25,660,47055,1.0060109199750025
Illinois,2014,26,461,42528,0.9533962534209133
Illinois,2014,27,347,39641,0.9285680822233754
Illinois,2014,28,392,43607,0.9363691622592143
Illinois,2014,29,351,42463,0.9195489034923332
Illinois,2014,30,343,43499,0.979242214188833
Illinois,2014,31,331,42964,0.9932628861510602
Illinois,2014,32,338,41687,0.9494151608378867
Illinois,2014,33,351,44070,0.9769127606042805
Illinois,2014,34,410,41268,0.8947509160421199
Illinois,2014,35,362,42561,0.9052610682368456
Illinois,2014,36,559,47757,1.0512544414951672
Illinois,2014,37,984,52363,1.0867450709097197
Illinois,2014,38,966,53538,1.1180128114770786
Illinois,2014,39,801,50115,1.0526371064294566
Illinois,2014,40,853,57777,0.9961393187376328
Illinois,2014,41,831,56141,0.9782641622735235
Illinois,2014,42,929,56597,0.9701003905395035
Illinois,2014,43,899,56302,0.9605290267886085
Illinois,2014,44,979,56032,0.9592397888770662
Illinois,2014,45,1109,56714,0.9562188164282223
Illinois,2014,46,1212,55943,0.964389952168972
Illinois,2014,47,1378,53968,1.0410895482078784
Illinois,2014,48,1810,47624,0.843265448443442
Illinois,2014,49,2687,59675,1.0182457991741416
Illinois,2014,50,3463,60819,1.1058804276674667
Illinois,2014,51,3569,59727,1.123932811645055
Illinois,2014,52,2308,41250,0.8342421192316728
Illinois,2014,53,2035,47036,0.8819718547547839
Illinois,2015,1,1397,45457,0.8595993081789367
Illinois,2015,2,1120,48417,0.891084357135374
Illinois,2015,3,1158,52324,0.9526298393918513
Illinois,2015,4,1153,50374,0.9095861413753064
Illinois,2015,5,1030,43837,0.8179659970862848
Illinois,2015,6,1288,54276,0.9616413600042523
Illinois,2015,7,1232,51881,0.9281497363293076
Illinois,2015,8,1285,53167,0.9389519758622703
Illinois,2015,9,1359,52133,0.9145399832672119
Illinois,2015,10,1484,56538,0.9866247493147264
Illinois,2015,11,1562,55721,1.0050796989643573
Illinois,2015,12,1549,53030,0.9794224534504755
Illinois,2015,13,1547,53799,1.0266517524892438
Illinois,2015,14,1358,55380,1.0354453864906263
Illinois,2015,15,1142,56439,1.0627859007303415
Illinois,2015,16,922,49683,0.9588607313053935
Illinois,2015,17,937,53501,1.0136161592608246
Illinois,2015,18,878,53675,1.0268705961301867
Illinois,2015,19,752,49803,0.9615735350030893
Illinois,2015,20,742,49745,1.0766043308233626
Illinois,2015,21,562,43741,0.9337695926695294
Illinois,2015,22,558,40127,0.8810050176572218
Illinois,2015,23,521,41118,0.8792284993371252
Illinois,2015,24,435,40497,0.8873586273154781
Illinois,2015,25,548,44035,0.9414449231983686
