DATE,PRCP,SNOW,TAVG,TMAX,TMIN
2016-08-21,0.15857142857142859,0.34540880503144655,0.0,74.28571428571429,83.30434782608695
2016-08-28,0.14857142857142858,0.2619041450777202,0.0,73.14285714285714,82.2463768115942
2016-09-04,0.19897727272727275,0.14135542168674697,0.403030303030303,47.75,58.7536231884058
2016-09-11,0.14666666666666667,0.013857526881720431,0.0,63.857142857142854,72.6231884057971
2016-09-18,0.1416666666666667,0.016541554959785522,0.0,63.857142857142854,72.64285714285714
2016-09-25,0.12666666666666668,0.04834886817576565,0.0,71.42857142857143,80.62857142857143
2016-10-02,0.31333333333333335,0.2659275362318841,0.1184549356223176,38.75,53.30434782608695
2016-10-09,0.13,0.19002751031636864,0.0,62.142857142857146,70.92753623188406
2016-10-16,0.06,0.11264665757162348,0.02,50.0,59.98571428571429
2016-10-23,0.06999999999999999,0.018051771117166212,0.0,58.714285714285715,68.02857142857142
2016-10-30,0.09428571428571429,0.21315860215053764,0.0,52.142857142857146,59.130434782608695
2016-11-06,0.009431818181818182,0.21055469953775038,0.013404825737265416,31.8125,48.82857142857143
2016-11-13,0.1475,0.028068965517241383,0.49368836291913215,58.42857142857143,67.17391304347827
2016-11-20,,0.029957386363636363,0.0,46.57142857142857,56.30434782608695
2016-11-27,0.0,0.05877218934911243,0.0,36.57142857142857,43.1
2016-12-04,0.10411764705882352,0.46658015267175573,0.03926701570680628,28.625,40.628571428571426
2016-12-11,0.16833333333333333,0.1005718085106383,0.0,66.28571428571429,76.35714285714286
2016-12-18,,0.08118506493506493,0.8979245283018867,13.857142857142858,21.928571428571427
2016-12-25,,0.01061056105610561,0.0029239766081871343,25.428571428571427,31.855072463768117
2017-01-01,,0.040520325203252036,0.0007968127490039841,32.57142857142857,41.205882352941174
2017-01-08,0.14333333333333334,0.40815159574468085,0.0015463917525773197,56.285714285714285,63.542857142857144
2017-01-15,0.185,0.006584022038567493,0.000847457627118644,39.714285714285715,47.15942028985507
2017-01-22,,0.281358024691358,0.0002666666666666667,38.714285714285715,44.15714285714286
2017-01-29,,0.012957317073170731,0.0102880658436214,32.57142857142857,35.63768115942029
2017-02-05,,0.045949554896142435,0.02896551724137931,34.42857142857143,42.25714285714286
2017-02-12,0.164,0.05869017632241814,0.0,63.142857142857146,72.72857142857143
2017-02-19,,0.0,0.0,41.857142857142854,52.07142857142857
2017-02-26,,0.06545602605863192,0.0004819277108433735,46.142857142857146,55.24285714285714
2017-03-05,0.0,0.048237037037037044,0.0,39.142857142857146,45.371428571428574
2017-03-12,0.21800000000000003,0.05907477820025348,0.0004784688995215311,64.14285714285714,74.11428571428571
2017-03-19,,0.058569254185692546,0.9475903614457831,32.57142857142857,38.857142857142854
2017-03-26,,0.18565092989985696,0.0,45.0,54.457142857142856
2017-04-02,,0.3463439306358381,0.0,36.714285714285715,43.19117647058823
2017-04-09,0.128,0.150748031496063,0.026410256410256412,59.857142857142854,67.78571428571429
2017-04-16,0.06,0.13235370611183356,0.0,59.142857142857146,66.67142857142858
2017-04-23,,0.019384010484927917,0.0,55.57142857142857,67.33333333333333
2017-04-30,,0.37973451327433627,0.0,54.142857142857146,63.89393939393939
2017-05-07,0.13,0.04540915395284328,0.0007984031936127745,46.142857142857146,54.0
2017-05-14,0.15,0.08081012658227849,0.0,58.57142857142857,68.68571428571428
2017-05-21,0.16714285714285712,0.13648682559598493,0.0,64.0,73.72857142857143
2017-05-28,0.11285714285714286,0.179973474801061,0.0,60.714285714285715,69.27142857142857
2017-06-04,0.9033333333333333,0.18316155988857938,0.0,47.42857142857143,56.44285714285714
2017-06-11,0.14666666666666667,0.07243781094527363,0.0,61.57142857142857,69.77142857142857
2017-06-18,0.198,0.21036340852130325,0.0,70.42857142857143,80.22857142857143
2017-06-25,0.2316666666666667,0.14564495530012772,0.0,70.57142857142857,80.04285714285714
2017-07-02,0.122,0.22140992167101828,0.0,56.285714285714285,65.57971014492753
2017-07-09,0.188,0.03619354838709678,0.0,60.57142857142857,68.57142857142857
2017-07-16,0.828,0.15226221079691518,0.007857142857142856,60.714285714285715,67.25714285714285
2017-07-23,0.3485714285714286,0.5103802281368821,0.0,76.28571428571429,85.54285714285714
2017-07-30,0.17714285714285713,0.08831168831168831,0.0,73.42857142857143,80.78260869565217
2017-08-06,0.16,0.03148667601683029,0.015875912408759123,46.714285714285715,56.205882352941174
2017-08-13,0.11200000000000002,0.07755414012738854,0.0,57.0,66.8
2017-08-20,0.14714285714285716,0.04191435768261965,0.0,74.57142857142857,83.76811594202898
